取材名,媒体名,公約内容
漢オフミー開催,オフミー,"特に公約はなし、編集部取材よりは
　　　配分がいいのが特徴"
源界突破レポート 爆ガチ,爆ガチ！,大工の源さんが狙い目
満天☆STARKewlⅡ,アツ姫,"4か所以上に3台並び以上
　　で全台高設定"
満天☆STARKewlIII,アツ姫,3台以上の連番3箇所以上が機械割100%↑
満天☆STAR Zeal Ⅱ,アツ姫,３機種以上に高設定台あり(強化版)
満天☆STAR Zeal,アツ姫,３機種以上に高設定台あり
満天☆STAR PassionZ,アツ姫,パチンコ(三機種以上に+ボーダーあり）
満天☆STAR Passion Z,アツ姫,パチンコ(三機種以上に+ボーダーあり）
満天☆STAR Passion K,アツ姫,パチンコ(三機種以上に+ボーダーあり）
満天☆STAR Kewl Ⅱ,アツ姫,"4か所以上に3台並び以上
　　で全台高設定"
満天☆STAR Kewl,アツ姫,３台以上の高設定並びが4箇所以上
満天☆STAR JOY,アツ姫,ジャグラー3機種以上が機械割100%以上
満天★STAR ZEAL,アツ姫,３機種以上に高設定台あり
満天★STAR KEWL,アツ姫,３台以上の高設定並びが4箇所以上
満天★STAR JOY,アツ姫,ジャグラー3機種以上が機械割100%以上
満台が見たい!!,アツ姫,設置台数の10％が設定56
海人取材(DMM),DMMぱちタウン,
海レポート,爆ガチ！,パチンコ大海物語が対象
沖花レポート,APチャンネル,
決闘英雄,アツ姫,
求道者取材,でちゃう！,
橘リノ,エースプロ,
楽パチ,ゲッツ!!,
極･究SLOT,アツ姫,対象機種が紙面に載っている
極PACHINKO,ジャンバリ.TV,
森あやこ来店(パチンコウォーカー),パチンコウォーカー,
東海エリアの名物ホールを調査!!,アツ姫,
東海 午後から編集部,でちゃう！,
来店実戦_BASHtv,BASHtv,来店実践
末代まで語れる自慢話を聞かせてくれ,でちゃう！,
最光超,アツ姫,
最光取材極,パチンコウォーカー,
暴走取材,DMMぱちタウン,
暴走パチンコレポート,爆ガチ！,"エヴァシリーズ（パチンコ）
　　　1/3以上で回るっぽい"
暴走スロットレポート,爆ガチ！,"エヴァシリーズ（スロット）
　　　1/3以上で高設定投入"
暴走スパジャッジ!!,スパ満開WEB,
旧イベ過去状況評価 加点なし,ホールナビ,
旧イベ過去状況評価 +4.0,ホールナビ,
旧イベ過去状況評価 +2.5,ホールナビ,
旧イベ過去状況評価 +1.5,ホールナビ,
旧イベ過去状況評価 +1.0,ホールナビ,
旧イベ過去状況評価 +0.5,ホールナビ,
旧イベ(毎週 金曜日),旧イベ,
旧イベ(毎週 火曜日),旧イベ,
旧イベ(毎週 水曜日),旧イベ,
旧イベ(毎週 木曜日),旧イベ,
旧イベ(毎週 月曜日),旧イベ,
旧イベ(毎週 日曜日),旧イベ,
旧イベ(毎週 土曜日),旧イベ,
旧イベ(毎月 第3金曜日),旧イベ,
旧イベ(毎月 第3日曜日),旧イベ,
旧イベ(毎月 第3土曜日),旧イベ,
旧イベ(毎月 22日),旧イベ,
旧イベ(毎月 21日),旧イベ,
旧イベ(毎月 20日),旧イベ,
旧イベ(毎月 19日),旧イベ,
旧イベ(毎月 18日),旧イベ,
旧イベ(毎月 17日),旧イベ,
旧イベ(毎月 16日),旧イベ,
旧イベ(毎月 15日),旧イベ,
旧イベ(ゾロ目の日),旧イベ,
旧イベ(9のつく日),旧イベ,
旧イベ(8のつく日),旧イベ,
旧イベ(7のつく日),旧イベ,
旧イベ(6のつく日),旧イベ,
旧イベ(5のつく日),旧イベ,
旧イベ(2のつく日),旧イベ,
旧イベ(1のつく日),旧イベ,
旧イベ(0のつく日),旧イベ,
新基準RESEARCH,DMMぱちタウン,
新台入替(P-WORLD引用),新台入替,
据膳上膳,BASHtv,高設定据置示唆
拳闘取材,アツ姫,
打ちたい台が固まっているか聞かせてくれ！プレミアム,でちゃう！,
打ちたい台が固まっているか聞かせてくれ,でちゃう！,
打ちごろ!,スクープTV,全体の10%以上が設定⑤⑥
才華欄発スパジャッジ!!,スパ満開WEB,
手羽さき来店,その他取材・企画,
快盗天使レポート,アツ姫,ツインエンジェル示唆
必勝本ライター来店情報,パチスロ必勝本,来店実践
必勝本ライター来店 青山りょう,パチスロ必勝本,来店実践
必勝本ライター来店 辻ヤスシ,パチスロ必勝本,来店実践
必勝本ライター来店 美原アキラ,パチスロ必勝本,来店実践
必勝本ライター来店 椎名まいたけ,パチスロ必勝本,来店実践
必勝本ライター来店 梅屋シン,パチスロ必勝本,来店実践
必勝本ライター来店 松真ユウ,パチスロ必勝本,来店実践
必勝本ライター来店 嵐,パチスロ必勝本,来店実践
必勝本ライター来店 射駒タケシ,パチスロ必勝本,来店実践
必勝本ライター来店 天草ヤスヲ,パチスロ必勝本,来店実践
必勝本ライター来店 ヒラヤマン,パチスロ必勝本,来店実践
必勝本ライター来店 ノリオ,パチスロ必勝本,来店実践
必勝本ライター来店 クボンヌ,パチスロ必勝本,来店実践
弦朧ノ契,スクープTV,バジシリーズに設定456を1/3以上
屋台来店,DMMぱちタウン,
寺やる!,スクープTV,来店実践
実践来店,不明,誰かの来店
実践収録,不明,誰かの来店
実戦来店 ジャンバリTV,ジャンバリ.TV,未調査
実戦来店,不明,未調査
実戦取材(パチマガスロマガ),パチマガスロマガ,
天草ヤスヲ稼働予定,天草ヤスヲのちゅんげーリサーチ,来店実践
天下繫栄-HALF SPARKING,アツ姫,
大航海取材(ゲッツ!!),ゲッツ!!,
大波取材,アツ姫,
夢幻 夢戦,チーム夢戦,北斗無双が対象になる
夢幻 ,チーム夢戦,不明 知ってる人教えてください
型破りパチ取材,スロパチステーション,
回胴連,回胴連,回胴連
回胴アンケ,ニコナナ,列や3台以上の機種で全台系
四暗刻,BASHtv,3台並びが4箇所
周年日 ★×3,ホールナビ,
周年日 ★×2,ホールナビ,
周年日 ★×1,ホールナビ,
周年日 ★×0,ホールナビ,
周年取材(ゲッツ!!),ゲッツ!!,
司芭扶来店実践,SEVENSTV,来店実践
右京来店,その他取材・企画,
収録 静香&マリアのななはん,ジャンバリ.TV,特になし
収録 ガリのり,ジャンバリ.TV,ジャグラーが狙い目
双龍連,一撃✖️DMM,未調査
双龍玉 ,一撃✖️DMM,パチンコ2BOXが対象？
双龍玉,一撃✖️DMM,パチンコ2BOXが対象
双龍,一撃&DMM,4台構成以上の機種に高設定を2箇所投入
厳選取材(アメスロ),アメスロ,
動画収録,不明,動画収録
全国プレミアムホール取材,アツ姫,不明 知ってる人教えてください
全体分析,ななライズ,
光線取材,DMMぱちタウン,
光るん×スロッター,パチンコ店長のホール攻略,
優良店の店内移動レポート 爆ガチ,爆ガチ！,不明 知ってる人教えてください
俺好み,一撃,バラエティに3台並びが2箇所
俺のパチンコ,スクープTV,パチンコ特定機種(HP参照)
俺のスロット,スクープTV,"対象機種（最大で5機種）の
　　　1/3以上に設定456を投入"
低王RESEARCH(銀),DMMぱちタウン,
低ガチ!,爆ガチ！,低貸しが対象
低カチ取材,DMMぱちタウン,
五神獣広告(輝獣),五神獣,
中野連れ打ち,でちゃう,未調査
並ばせ屋が診る!,並ばせ屋,"全台設定⑥を2機種
　　　もしくは2箇所（列）"
上限突破取材,DMMぱちタウン,
三重リサーチ,アツ姫,
三暗刻 全国優良ホールレポート三(アメスロ),アメスロ,
三暗刻,BASHtv,3台並びで高設定が3箇所
三位一体,アツ姫,
万パチミー 初開催,オフミー,未調査
七色れあを探さないでください,オフミー,
一角獣取材,アツ姫,
ヴェルデクス レポート,アメスロ,全⑤⑥機種(３台以上)が２機種以上
ワロス来店実践,SEVENSTV,来店実践
ワサビ103％,APチャンネル,
ロードオブパチンコ,アツ姫,
リベンジャーズ卍,リベンジャーズ,
リニューアルオープンレポート,爆ガチ！,リニューアル専用取材
リアルモンスタークロス,DMMぱちタウン,
ランダムスパジャッジ!!,スパ満開WEB,
ライン分析,ななライズ,
ライラプス,アツ姫,"3台以上構成の機種のうち
　　　1機種以上に全456"
メテオス,不明,不明 知ってる人教えてください
メガフレアレポート(アメスロ),アメスロ,
メガサンダー,BASHtv,??? 知ってる人教えてください
メガオロチ,ジャンバリ.TV,"3台以上設置機種の2機種
　　　が全台設定5以上"
ミラクル8取材,でちゃう！,
マスターオブパチンコ,アツ姫,
マジ活 でちゃう,でちゃう,未調査
マキシマムスロッター,パチンコ店長のホール攻略,
ホールサーチマン 金色,ホールサーチマン,サーチマンHP上の3機種が狙い目
ホールサーチマン 金枠,ホールサーチマン,
ホールサーチマン 赤色,ホールサーチマン,サーチマンHP上の3機種が狙い目
ホールサーチマン 赤枠(パチ),ホールサーチマン,
ホールサーチマン 赤枠,ホールサーチマン,
ホールサーチマン 虹色,ホールサーチマン,サーチマンHP上の3機種が狙い目
ホールサーチマン 予想人数多い,ホールサーチマン,未調査
ホールサーチマン ,ホールサーチマン,予想人数の多さで察してください
ホームランボール,DMMぱちタウン,
ホル調,パチ7,不明 知ってる人教えてください
ペカリ全国一斉取材,爆ガチ！,ジャグラーシリーズが狙い目
プレミアムライラプス,アツ姫,"3台以上構成の機種のうち
　　　1機種以上に全6"
プレミアムペルセウス,アツ姫,未調査
プレミアムヒュドラ,アツ姫,5台以上設置機種に1台以上設定5.6
プレミアムパチセウス,アツ姫,
プレミアムゼウス,アツ姫,
プレミアムジャンヌダルク(アメスロ),アメスロ,
プレミアムジャッジメントS,アツ姫,
プレミアムジャッジメントP,アツ姫,
プレミアムオルトロス,アツ姫,３台以上機種限定で設定全６
プレミアム×パチンカー,パチンコ店長のホール攻略,
プレミアムNARABU無双,アツ姫,並び2箇所で5台以上設定⑥
プレミアムNARABU LEGEND,アツ姫,
プレミアム ゴールデン スロット,ジャンバリ.TV,
プラチナオルトロス,アツ姫,"3台以上設置の機種限定で
　　　全56を2ヵ所以上"
ブレイブバンド-獅子奮迅-,アツ姫,
ブレイブバンド-九頭龍咆哮-,アツ姫,
ブレイクリポート,ゲッツ!!,
ブラックフェニックス,アツ姫,8台構成以上2機種が1/2設定⑤⑥
ブッコミ実戦調査,天草ヤスヲのちゅんげーリサーチ,"パネル,列,機種単位が全台系が複数"
ブッコミデータまとめ！,天草ヤスヲのちゅんげーリサーチ,"パネル,列,機種単位が全台系が複数"
フルスピン,スクープTV,"全⑥を1機種以上投入
　　　対象は3台以上設置の機種"
フラッシュ取材,娯楽の殿堂,ジャグラー6台に高設定投入
フラッシュスクープ(アメスロ),アメスロ,
フラッシュスクープ,爆ガチ！,ジャグラーシリーズが狙い目
フラッシュ feat.QUEEN,娯楽の殿堂,"ジャグラーシリーズの特定末尾の
　　　台番号に全台高設定を投入"
フラッシュ feat.KING,娯楽の殿堂,未調査
フラッシュ feat.JOKER,娯楽の殿堂,未調査
フェニックスNEO,アツ姫,全体の10％が設定56
フェニックス,アツ姫,全台の10%の台に設定456
ピカリ取材,DMMぱちタウン,
ヒュドラ,アツ姫,5台以上設置機種に1台以上設定56
ヒッポツアー,hippo,全⑥機種を1機種以上設置
パーフェクトパチンコ,爆ガチ！,不明 知ってる人教えてください
パチ嬢みき来店,その他取材・企画,
パチンコバトル取材,DMMぱちタウン,
パチンコ&スロット全機種調査団,ジャンバリ.TV,全機種全台対象(公約無し)
パチンコ&スロット低貸し取材,ゲッツ!!,
パチンカー×パチンカー広告,パチンコ店長のホール攻略,未調査
パチンカー×パチンカー 初開催,パチンコ店長のホール攻略,"パチンコ2機種以上で分岐営業
　　　対象機種はHP要確認"
パチンカー×パチンカー,パチンコ店長のホール攻略,"パチンコ2機種以上で分岐営業
　　　対象機種はHP要確認"
パチミー取材,オフミー,未調査
パチミー初開催,オフミー,パチンコに注目
パチミー初取材,オフミー,未調査
パチミー(来店なし),オフミー,
パチマガスロマガSTAR BATTLE,パチスロ必勝本,未調査
パチトロス,アツ姫,
パチスロ確定演出!?ハンター,一撃,対象機種が確定系が出る機種
バンザイ遊パチ取材,ゲッツ!!,
バラエティコレクション,ジャンバリ.TV,
バチバチ,アツ姫,
ハナ娘取材,ゲッツ!!,
ネテロ会長予想（みんパチ予想）,パチンコ店長のホール攻略,未調査
ネクストゾーン実践来店(霧島ダイヤ),ネクストゾーン,
ネクストゾーン実践来店(ゴールドさん),ネクストゾーン,
ニャントロス,アツ姫,2台以上設置の2機種以上に設定56投入
ナビ子AI予想【機種仕掛け】★5+ (毎週 土曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★5 (毎週 金曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★5 (毎週 日曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★5 (毎週 土曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★5 (9のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★5 (8のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★5 (7のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★4 (毎週 土曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★4 (ゾロ目の日),ホールナビ,
ナビ子AI予想【機種仕掛け】★4 (8のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★4 (5のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★4 (1のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★4 (0のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (毎週 火曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (毎週 水曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (毎週 日曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (毎週 土曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (ゾロ目の日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (9のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (8のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (7のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (5のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (2のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (1のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★3 (0のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (毎週 日曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (毎週 土曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (ゾロ目の日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (9のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (8のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (7のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (6のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (5のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (2のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (1のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★2 (0のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (毎週 金曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (毎週 火曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (毎週 水曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (毎週 木曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (毎週 月曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (毎週 日曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (毎週 土曜日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (ゾロ目の日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (9のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (8のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (7のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (6のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (5のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (2のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (1のつく日),ホールナビ,
ナビ子AI予想【機種仕掛け】★1 (0のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★5 (毎週 金曜日),ホールナビ,
ナビ子AI予想【差枚プラス】★5 (毎週 水曜日),ホールナビ,
ナビ子AI予想【差枚プラス】★5 (毎週 土曜日),ホールナビ,
ナビ子AI予想【差枚プラス】★5 (8のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★5 (7のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★5 (5のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★5 (2のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★5 (1のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★5 (0のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (毎週 金曜日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (毎週 水曜日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (毎週 土曜日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (ゾロ目の日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (9のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (7のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (6のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (5のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (2のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (1のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★3 (0のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (毎週 水曜日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (毎週 日曜日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (毎週 土曜日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (ゾロ目の日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (9のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (8のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (7のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (6のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (5のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (2のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (1のつく日),ホールナビ,
ナビ子AI予想【差枚プラス】★1 (0のつく日),ホールナビ,
ナイン×スロッター,パチンコ店長のホール攻略,
ドリスロ：全台系,dorislo,全台系に高設定が複数カ所投入
ドリスロ：ジャグラー,dorislo,ジャグラー系に高設定が複数台投入
ドリスロ：3台並び,dorislo,3台並びに高設定が複数カ所投入
ドキドキ取材(ゲッツ),ゲッツ!!,
ドキっと!レポート,アツ姫,
ドカ積みドリーム,スクープTV,パチンコ取材
トントンマン,DMMぱちタウン,8機種に1/2で設定456投入
トレジャーミッション,DMMぱちタウン,
トレジャーボックス,爆ガチ！,BOX単位で高設定が複数
トレジャーハント【numberｓ】,APチャンネル,
トリプルジャッジ,でちゃう！,
トリプルZ,でちゃう！,
デジャブレポート,爆ガチ！,高設定据置示唆
デカ取材,DMMぱちタウン,
テトスロ（でちゃう）,でちゃう,未調査
ツクヨミ,ジャンバリ.TV,
ツインズ スロット取材,ゲッツ!!,
ダブルスナイプ,アツ姫,
ダブジャクエスト(初),ダブルジャッジ,
ダブジャクエスト 初,Gooパチ,"装備のアイコンにそれぞれ対応した
　　　公約が存在"
ダブジャクエスト,Gooパチ,"装備のアイコンにそれぞれ対応した
　　　公約が存在"
ダブジャ,Gooパチ,機種やパネルや島単位での全台系
ダイナマイトスロット,スクープTV,HPに対象機種があるので要確認
タレント来店 ,不明,来店実践
タイガーハンター,アツ姫,
ゼブラ保留,ガチアン,
ズバパチミレニアム,あかだ主任のガチンコ…,
ズバスロ３０,あかだ主任のガチンコ…,
ズバスロA極,あかだ主任のガチンコ…,
ズバスロA,あかだ主任のガチンコ…,
ズバスロ,あかだ主任のガチンコ…,
ズキュン！デュオ,パチスロ必勝本,特定の末尾に高設定投入
スロ子&パチ子来店,スロパチステーション,
スロレポ 爆ガチ!,爆ガチ！,不明 知ってる人教えてください
スロマガ超ユーザーリサーチ,パチマガスロマガ,未調査
スロマガ超インパクト取材,パチマガスロマガ,全台系が少なくとも5機種は設置
スロパチ潜入取材結,スロパチステーション,"高設定が6台並びで投入
　　　200台なら3箇所,400台なら6箇所"
スロパチ潜入取材光,スロパチステーション,"ジャグラー系が102%以上で営業
　　　ジャグラー系最強クラスの取材"
スロパチ潜入取材メガテン,スロパチステーション,番長3と絆2がチャンス?3台並びも◎
スロパチ潜入取材 結,スロパチステーション,未調査
スロパチ潜入取材 光,スロパチステーション,"ジャグラー系が102%以上で営業
　　　ジャグラー系最強クラスの取材"
スロパチ潜入取材 メガテン,スロパチステーション,"番長3,絆2に6台並びで設定56投入
　　　その他並びで3か所に高設定投入"
スロパチ潜入取材 トレジャー,スロパチステーション,特定の台番の末尾に105%以上
スロパチ潜入取材,スロパチステーション,"等価で10割,非等価で11,2割営業"
スロパチ広告,スロパチステーション,"5,6台並びの設定⑤⑥が複数個所
　　　(設置200台→3か所,400台→6か所）"
スロパチステーション潜入取材 光,スロパチステーション,
スロパチステーション潜入取材,スロパチステーション,
スロパチなごや嬢すみれ来店,その他取材・企画,
スロット日報潜入調査＆中山来店,スロット日報,不明 知ってる人教えてください
スロットss_G,PS-EMOTION,
スロットH,PS-EMOTION,
スロッタースロッター広告,パチンコ店長のホール攻略,未調査
スロッター×パチンカー 初開催,パチンコ店長のホール攻略,スロッター×2とパチンカー×2の同時開催
スロッター×パチンカー,パチンコ店長のホール攻略,スロッター×2とパチンカー×2の同時開催
スロッター×スロッター広告,パチンコ店長のホール攻略,4つの公約が存在。要HPチェック
スロッター×スロッター6.5,パチンコ店長のホール攻略,
スロッター×スロッター 初開催,パチンコ店長のホール攻略,4つの公約が存在。要HPチェック
スロッター×スロッター,パチンコ店長のホール攻略,4つの公約が存在。要HPチェック
スマートオフミー(初開催),オフミー,
スマートオフミー,オフミー,
スマスロリポート,ゲッツ!!,
スパジャッジ華王!!,スパ満開WEB,
スパジャッジ東海名物,スパ満開WEB,
スパジャッジM物語,スパ満開WEB,
スパジャッジ ガーベラレッド,スパ満開WEB,
スパジャッジ ガーベラピンク,スパ満開WEB,
スパジャッジ アンケート取材,スパ満開WEB,
スパジャッジ,スパ満開WEB,
スパジャグスパジャッジ!!,スパ満開WEB,
スパガールズ来店,スパ満開WEB,
スナイプ,アツ姫,特定の末尾に全台設定456投入
スナイパーズレポート(アメスロ),アメスロ,
スタレポNEO,ジャンバリ.TV,"3台設置以上の機種1機種以上に
　　　全台設定⑥投入"
スタレポ,ジャンバリ.TV,"4台以上設置機種に
　　　　全台設定6が複数投入"
スサノオ,ジャンバリ.TV,"スロ全体10％以上に設定456投入
　　　+3台以上1機種以上に全台設定456"
スゴろく！サンゴ,DMMぱちタウン,
スコーピオン取材 情熱の薔薇,DMMぱちタウン,
スコーピオン取材 八咫烏,DMMぱちタウン,
スコーピオン取材 マジ愛取材,DMMぱちタウン,未調査
スコーピオン取材 RISING SUN,DMMぱちタウン,
スコーピオン取材 REPO取材,DMMぱちタウン,未調査
スコーピオン取材 IMPERIAL BLUE,DMMぱちタウン,
スコーピオン取材 ArmStrong,DMMぱちタウン,未調査
スコーピオン取材 ALL ROUND取材,DMMぱちタウン,
スコーピオン取材 ALBATROSS TWIN,DMMぱちタウン,1機種(ツインは2機種)に設定全456
ジャンバリ魂,ジャンバリ.TV,未調査
ジャンバリ広告,ジャンバリ.TV,未調査
ジャッジメントS,アツ姫,
ジャッジメントP,アツ姫,
ジャックレポート,APチャンネル,
ジャックランタンOVER,アツ姫,
ジャックランタン,アツ姫,
ジャグレポ,スクープTV,ジャグラーシリーズが狙い目
ジャグペカッレポート,爆ガチ！,ジャグラーシリーズが狙い目
シーナ。(gooパチ),グーパチ,
シーサーペントOVER,アツ姫,
シーサーペント,アツ姫,
シーサ。オフミー取材,オフミー,
ジュラシック・レジェンドα,アツ姫,
サードライン,アツ姫,
サラマンダーZ,アツ姫,
